date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:17:13	246/246	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Jul%202018%2006:32:13%20GMT	http://healthadmin.thememinister.com/robots.txt		(from )
12:17:14	61918/61918	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20May%202017%2017:12:34%20GMT	http://healthadmin.thememinister.com/	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/index.html	(from )
12:17:17	121200/121200	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jul%202016%2015:53:28%20GMT	http://healthadmin.thememinister.com/assets/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/assets/bootstrap/css/bootstrap.min.css	(from http://healthadmin.thememinister.com/)
12:17:17	253668/253668	---MCZ	200	added ('OK')	text/css	date:Thu,%2027%20Apr%202017%2013:55:56%20GMT	http://healthadmin.thememinister.com/assets/plugins/jquery-ui-1.12.1/jquery-ui.min.css	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/assets/plugins/jquery-ui-1.12.1/jquery-ui.min.css	(from http://healthadmin.thememinister.com/)
12:17:17	11783/11783	---MCZ	200	added ('OK')	text/css	date:Sat,%2011%20Feb%202017%2015:28:36%20GMT	http://healthadmin.thememinister.com/assets/plugins/lobipanel/lobipanel.min.css	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/assets/plugins/lobipanel/lobipanel.min.css	(from http://healthadmin.thememinister.com/)
12:17:17	18107/18107	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Apr%202017%2016:53:16%20GMT	http://healthadmin.thememinister.com/assets/dist/img/ico/favicon.png	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/assets/dist/img/ico/favicon.png	(from http://healthadmin.thememinister.com/)
12:17:17	2201/2201	---MCZ	200	added ('OK')	text/css	date:Thu,%2023%20Mar%202017%2014:30:38%20GMT	http://healthadmin.thememinister.com/assets/plugins/pace/flash.css	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/assets/plugins/pace/flash.css	(from http://healthadmin.thememinister.com/)
12:17:17	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2026%20Dec%202016%2012:42:22%20GMT	http://healthadmin.thememinister.com/assets/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/assets/font-awesome/css/font-awesome.min.css	(from http://healthadmin.thememinister.com/)
12:17:17	9742/9742	---MCZ	200	added ('OK')	text/css	date:Wed,%2028%20Dec%202016%2015:59:52%20GMT	http://healthadmin.thememinister.com/assets/pe-icon-7-stroke/css/pe-icon-7-stroke.css	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/assets/pe-icon-7-stroke/css/pe-icon-7-stroke.css	(from http://healthadmin.thememinister.com/)
12:17:18	17554/17554	---MCZ	200	added ('OK')	text/css	date:Thu,%2002%20Feb%202017%2013:29:20%20GMT	http://healthadmin.thememinister.com/assets/themify-icons/themify-icons.css	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/assets/themify-icons/themify-icons.css	(from http://healthadmin.thememinister.com/)
12:17:18	8047/8047	---MCZ	200	added ('OK')	text/css	date:Thu,%2023%20Mar%202017%2015:02:42%20GMT	http://healthadmin.thememinister.com/assets/plugins/toastr/toastr.css	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/assets/plugins/toastr/toastr.css	(from http://healthadmin.thememinister.com/)
12:17:18	20330/20330	---MCZ	200	added ('OK')	text/css	date:Thu,%2005%20Jan%202017%2013:08:24%20GMT	http://healthadmin.thememinister.com/assets/plugins/emojionearea/emojionearea.min.css	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/assets/plugins/emojionearea/emojionearea.min.css	(from http://healthadmin.thememinister.com/)
12:17:18	9912/9912	---MCZ	200	added ('OK')	text/css	date:Mon,%2023%20Jan%202017%2012:52:00%20GMT	http://healthadmin.thememinister.com/assets/plugins/monthly/monthly.css	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/assets/plugins/monthly/monthly.css	(from http://healthadmin.thememinister.com/)
12:17:19	80283/80283	---MCZ	200	added ('OK')	text/css	date:Sat,%2013%20May%202017%2017:09:58%20GMT	http://healthadmin.thememinister.com/assets/dist/css/stylehealth.min.css	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/assets/dist/css/stylehealth.min.css	(from http://healthadmin.thememinister.com/)
12:17:20	10301/10301	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Mar%202017%2014:42:58%20GMT	http://healthadmin.thememinister.com/assets/dist/img/mini-logo.png	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/assets/dist/img/mini-logo.png	(from http://healthadmin.thememinister.com/)
12:17:20	61918/61918	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20May%202017%2017:12:34%20GMT	http://healthadmin.thememinister.com/index.html	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/index-2.html	(from http://healthadmin.thememinister.com/)
12:17:23	20402/20402	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Apr%202017%2016:13:46%20GMT	http://healthadmin.thememinister.com/assets/dist/img/logo.png	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/assets/dist/img/logo.png	(from http://healthadmin.thememinister.com/)
12:17:23	18063/18063	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Apr%202017%2013:48:56%20GMT	http://healthadmin.thememinister.com/assets/dist/img/nocontrol.png	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/assets/dist/img/nocontrol.png	(from http://healthadmin.thememinister.com/)
12:17:26	36291/36291	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Apr%202017%2013:47:28%20GMT	http://healthadmin.thememinister.com/assets/dist/img/stethescope.png	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/assets/dist/img/stethescope.png	(from http://healthadmin.thememinister.com/)
12:17:26	22806/22806	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Apr%202017%2013:49:38%20GMT	http://healthadmin.thememinister.com/assets/dist/img/therm.jpg	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/assets/dist/img/therm.jpg	(from http://healthadmin.thememinister.com/)
12:17:30	41702/41702	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jan%202017%2011:32:10%20GMT	http://healthadmin.thememinister.com/assets/dist/img/avatar2.png	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/assets/dist/img/avatar2.png	(from http://healthadmin.thememinister.com/)
12:17:32	40362/40362	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jan%202017%2011:40:54%20GMT	http://healthadmin.thememinister.com/assets/dist/img/avatar4.png	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/assets/dist/img/avatar4.png	(from http://healthadmin.thememinister.com/)
12:17:32	61522/61522	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20May%202017%2016:55:08%20GMT	http://healthadmin.thememinister.com/profile.html	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/profile.html	(from http://healthadmin.thememinister.com/)
12:17:33	40651/40651	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jan%202017%2011:39:06%20GMT	http://healthadmin.thememinister.com/assets/dist/img/avatar3.png	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/assets/dist/img/avatar3.png	(from http://healthadmin.thememinister.com/)
12:17:33	3560/3560	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20May%202017%2013:50:42%20GMT	http://healthadmin.thememinister.com/login.html	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/login.html	(from http://healthadmin.thememinister.com/)
12:17:33	87124/87124	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Apr%202017%2013:48:36%20GMT	http://healthadmin.thememinister.com/assets/dist/img/lab.png	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/assets/dist/img/lab.png	(from http://healthadmin.thememinister.com/)
12:17:33	8007/8007	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Dec%202016%2011:19:54%20GMT	http://healthadmin.thememinister.com/assets/dist/img/avatar5.png	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/assets/dist/img/avatar5.png	(from http://healthadmin.thememinister.com/)
12:17:34	52563/52563	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20May%202017%2016:38:36%20GMT	http://healthadmin.thememinister.com/forms_basic.html	C:/My%20Web%20Sites/Health%20Care/healthadmin.thememinister.com/forms_basic.html	(from http://healthadmin.thememinister.com/)
